立案時間,派工項目,案件地址,經緯度,longitude,latitude
2017/10/5 14:41,交通號誌電纜線垂落及設施損壞,北投區112台灣台北市北投區泉源路221號,"(25.1448466, 121.5269802)",25.1448466, 121.5269802
2017/10/5 14:49,交通標誌及設施物損壞(含汙損)、傾斜,北投區北投區新民路22巷1號,"(25.1392915, 121.5074649)",25.1392915, 121.5074649
2017/10/5 15:19,交通號誌電纜線垂落及設施損壞,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2017/10/5 15:21,交通號誌電纜線垂落及設施損壞,大安區愛國東路210巷,"(25.0313206, 121.5239532)",25.0313206, 121.5239532
2017/10/5 15:31,路燈故障或設施損壞,松山區八德路四段181巷17弄,"(25.0494329, 121.5638646)",25.0494329, 121.5638646
2017/10/5 16:17,路燈故障或設施損壞,大同區,"(25.0627243, 121.5113064)",25.0627243, 121.5113064
2017/10/5 16:37,路燈故障或設施損壞,內湖區行善路59巷,"(25.056936, 121.578385)",25.056936, 121.578385
2017/10/9 11:51,雨水下水道側溝清淤,北投區雙全街,"(25.1380623, 121.5010275)",25.1380623, 121.5010275
2017/10/5 16:37,人孔蓋(含周邊)破損、遺失處?,士林區111台灣台北市士林區大南路226號,"(25.0886578, 121.5209674)",25.0886578, 121.5209674
2017/10/5 16:48,鄰里無主垃圾清運,士林區台北市士林區中正路435巷19號,"(25.0929191, 121.5208482)",25.0929191, 121.5208482
2017/10/5 16:51,鄰里無主垃圾清運,萬華區108台灣台北市萬華區環河南路二段246號,"(25.0331941, 121.4922218)",25.0331941, 121.4922218
2017/10/5 16:56,鄰里無主垃圾清運,文山區木新路二段,"(24.983953, 121.5687464)",24.983953, 121.5687464
2017/10/5 17:10,交通號誌異常,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2017/10/5 17:11,路燈故障或設施損壞,大同區重慶北路三段,"(25.070191, 121.5136876)",25.070191, 121.5136876
2017/10/5 17:23,鄰里無主垃圾清運,南港區台北市南港區富康街86號,"(25.0519516, 121.6169591)",25.0519516, 121.6169591
2017/10/5 17:24,交通號誌異常,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2017/10/5 17:48,路燈故障或設施損壞,士林區中山北路四段,"(25.0797278, 121.5244917)",25.0797278, 121.5244917
2017/10/5 17:49,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/5 18:06,路燈故障或設施損壞,中山區10491台灣台北市中山區北安路821巷4弄10號,"(25.0856059, 121.555925)",25.0856059, 121.555925
2017/10/5 18:26,路燈故障或設施損壞,士林區通河西街二段,"(25.0932239, 121.5053077)",25.0932239, 121.5053077
2017/10/5 18:42,路燈故障或設施損壞,內湖區行善路59巷20弄,"(25.0574012, 121.5786635)",25.0574012, 121.5786635
2017/10/5 18:42,鄰里無主垃圾清運,信義區莊敬路,"(25.0291454, 121.5626548)",25.0291454, 121.5626548
2017/10/5 18:45,路燈故障或設施損壞,中正區汀州路一段306巷,"(25.0263589, 121.5117454)",25.0263589, 121.5117454
2017/10/5 18:54,路燈故障或設施損壞,北投區,"(25.1151759, 121.515018)",25.1151759, 121.515018
2017/10/5 19:14,路燈故障或設施損壞,中山區大直街,"(25.0821071, 121.5463923)",25.0821071, 121.5463923
2017/10/5 19:18,路燈故障或設施損壞,南港區忠孝東路六段70巷22弄,"(25.0458795, 121.5842622)",25.0458795, 121.5842622
2017/10/5 19:26,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2017/10/5 19:28,路燈故障或設施損壞,北投區文林北路5巷,"(25.1011927, 121.5173802)",25.1011927, 121.5173802
2017/10/5 19:34,路燈故障或設施損壞,大安區瑞安街264巷,"(25.0269196, 121.538437)",25.0269196, 121.538437
2017/10/5 19:36,路燈故障或設施損壞,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/5 19:38,交通標誌及設施物損壞(含汙損)、傾斜,南港區115台灣台北市南港區向陽路40-78號,"(25.0522948, 121.5956841)",25.0522948, 121.5956841
2017/10/5 19:54,路燈故障或設施損壞,松山區南京東路五段123巷8弄,"(25.0534535, 121.5620523)",25.0534535, 121.5620523
2017/10/5 19:54,路燈故障或設施損壞,士林區仰德大道一段91巷,"(25.1064348, 121.5384922)",25.1064348, 121.5384922
2017/10/5 20:08,鄰里無主垃圾清運,中正區臨沂路,"(25.0389555, 121.5294385)",25.0389555, 121.5294385
2017/10/5 20:32,鄰里無主垃圾清運,士林區承德路四段6巷2號,"(25.0790572, 121.5212491)",25.0790572, 121.5212491
2017/10/5 20:35,鄰里無主垃圾清運,士林區111台灣台北市士林區承德路四段2巷1號,"(25.0789293, 121.5210368)",25.0789293, 121.5210368
2017/10/5 20:40,路燈故障或設施損壞,士林區通河西街一段,"(25.0807714, 121.5140705)",25.0807714, 121.5140705
2017/10/5 20:41,鄰里無主垃圾清運,士林區通河街78號,"(25.0809379, 121.5204744)",25.0809379, 121.5204744
2017/10/5 21:05,路燈故障或設施損壞,松山區南京東路四段133巷5弄,"(25.0522206, 121.5551128)",25.0522206, 121.5551128
2017/10/5 21:09,路燈故障或設施損壞,大安區通化街28巷,"(25.0313022, 121.5536314)",25.0313022, 121.5536314
